"session_id","participant_id","trader_name","trader_type","risk_tolerance","trade_frequency","initial_capital","cash_balance","preferred_sectors","profile_json","portfolio_json","performance_json","last_trade_at","created_at"
"demo-paper-1000-ai-traders","0","Anaya Singh","hft","87.68","0.9","100000","87280","[""Financial Services"",""Banking"",""Automotive""]","{""display_name"":""Anaya Singh"",""trader_style"":""hft"",""risk_band"":""aggressive"",""investment_horizon"":""intraday"",""capital_bucket"":""small"",""preferred_sectors"":[""Financial Services"",""Banking"",""Automotive""]}","{""cash"":87280,""holdings"":[{""symbol"":""RELIANCE.NS"",""quantity"":17,""average_cost"":282.91,""current_price"":283.71,""market_value"":4823.07,""unrealized_pnl"":13.6,""sector"":""Energy""},{""symbol"":""TCS.NS"",""quantity"":9,""average_cost"":602.12,""current_price"":606.53,""market_value"":5458.77,""unrealized_pnl"":39.69,""sector"":""IT""},{""symbol"":""ICICIBANK.NS"",""quantity"":2,""average_cost"":1291.95,""current_price"":1219.32,""market_value"":2438.64,""unrealized_pnl"":-145.26,""sector"":""Banking""}],""holdings_value"":12720.48,""total_value"":100000.48,""allocation"":{""Banking"":2.44,""Energy"":4.82,""IT"":5.46}}","{""day_change_pct"":-0.49,""total_return_pct"":0,""sharpe_ratio"":1.87,""win_rate"":63.53,""max_drawdown_pct"":13.03,""volatility_pct"":2.04}","2026-03-31T18:10:27.2261031+05:30","2026-04-08T18:10:27.2261031+05:30"
"demo-paper-1000-ai-traders","1","Dev Kapoor","hft","90.8","0.9","100000","82508","[""Banking"",""Healthcare"",""Financial Services"",""Automotive""]","{""display_name"":""Dev Kapoor"",""trader_style"":""hft"",""risk_band"":""aggressive"",""investment_horizon"":""intraday"",""capital_bucket"":""small"",""preferred_sectors"":[""Banking"",""Healthcare"",""Financial Services"",""Automotive""]}","{""cash"":82508,""holdings"":[{""symbol"":""NVDA"",""quantity"":32,""average_cost"":523.22,""current_price"":546.62,""market_value"":17491.84,""unrealized_pnl"":748.8,""sector"":""Technology""}],""holdings_value"":17491.84,""total_value"":99999.84,""allocation"":{""Technology"":17.49}}","{""day_change_pct"":-0.18,""total_return_pct"":0,""sharpe_ratio"":0.86,""win_rate"":53.65,""max_drawdown_pct"":10.72,""volatility_pct"":1.32}","2026-03-30T18:10:27.2261031+05:30","2026-04-08T18:10:27.2261031+05:30"
"demo-paper-1000-ai-traders","2","Sara Khan","hft","77.58","0.9","100000","81486","[""Financial Services"",""Financials"",""Healthcare""]","{""display_name"":""Sara Khan"",""trader_style"":""hft"",""risk_band"":""aggressive"",""investment_horizon"":""intraday"",""capital_bucket"":""small"",""preferred_sectors"":[""Financial Services"",""Financials"",""Healthcare""]}","{""cash"":81486,""holdings"":[{""symbol"":""ICICIBANK.NS"",""quantity"":10,""average_cost"":1876.22,""current_price"":1851.41,""market_value"":18514.1,""unrealized_pnl"":-248.1,""sector"":""Banking""}],""holdings_value"":18514.1,""total_value"":100000.1,""allocation"":{""Banking"":18.51}}","{""day_change_pct"":-0.56,""total_return_pct"":0,""sharpe_ratio"":1.06,""win_rate"":61.76,""max_drawdown_pct"":4.18,""volatility_pct"":3.99}","2026-04-08T18:10:27.2261031+05:30","2026-04-08T18:10:27.2261031+05:30"
"demo-paper-1000-ai-traders","3","Riya Kulkarni","hft","70.15","0.9","100000","82958","[""Energy"",""Banking"",""Financial Services"",""IT""]","{""display_name"":""Riya Kulkarni"",""trader_style"":""hft"",""risk_band"":""aggressive"",""investment_horizon"":""intraday"",""capital_bucket"":""small"",""preferred_sectors"":[""Energy"",""Banking"",""Financial Services"",""IT""]}","{""cash"":82958,""holdings"":[{""symbol"":""HDFCBANK.NS"",""quantity"":16,""average_cost"":330.99,""current_price"":340.64,""market_value"":5450.24,""unrealized_pnl"":154.4,""sector"":""Banking""},{""symbol"":""BAJAJFINSV.NS"",""quantity"":7,""average_cost"":1635.41,""current_price"":1655.96,""market_value"":11591.72,""unrealized_pnl"":143.85,""sector"":""Financial Services""}],""holdings_value"":17041.96,""total_value"":99999.96,""allocation"":{""Banking"":5.45,""Financial Services"":11.59}}","{""day_change_pct"":-1.41,""total_return_pct"":0,""sharpe_ratio"":1.74,""win_rate"":68.76,""max_drawdown_pct"":15.72,""volatility_pct"":0.81}","2026-04-02T18:10:27.2261031+05:30","2026-04-08T18:10:27.2261031+05:30"
"demo-paper-1000-ai-traders","4","Rahul Sharma","hft","81.02","0.9","100000","86022","[""Financial Services"",""Automotive"",""Healthcare"",""Banking""]","{""display_name"":""Rahul Sharma"",""trader_style"":""hft"",""risk_band"":""aggressive"",""investment_horizon"":""intraday"",""capital_bucket"":""small"",""preferred_sectors"":[""Financial Services"",""Automotive"",""Healthcare"",""Banking""]}","{""cash"":86022,""holdings"":[{""symbol"":""JNJ"",""quantity"":39,""average_cost"":330.73,""current_price"":358.42,""market_value"":13978.38,""unrealized_pnl"":1079.91,""sector"":""Healthcare""}],""holdings_value"":13978.38,""total_value"":100000.38,""allocation"":{""Healthcare"":13.98}}","{""day_change_pct"":-0.43,""total_return_pct"":0,""sharpe_ratio"":2.21,""win_rate"":47.97,""max_drawdown_pct"":2.29,""volatility_pct"":3.65}","2026-04-07T18:10:27.2261031+05:30","2026-04-08T18:10:27.2261031+05:30"
"demo-paper-1000-ai-traders","5","Aarav Saxena","hft","70.45","0.9","100000","85257","[""Consumer"",""Automotive"",""Healthcare""]","{""display_name"":""Aarav Saxena"",""trader_style"":""hft"",""risk_band"":""aggressive"",""investment_horizon"":""intraday"",""capital_bucket"":""small"",""preferred_sectors"":[""Consumer"",""Automotive"",""Healthcare""]}","{""cash"":85257,""holdings"":[{""symbol"":""SBIN.NS"",""quantity"":15,""average_cost"":412.5,""current_price"":389.96,""market_value"":5849.4,""unrealized_pnl"":-338.1,""sector"":""Banking""},{""symbol"":""RELIANCE.NS"",""quantity"":3,""average_cost"":2168.41,""current_price"":2106.33,""market_value"":6318.99,""unrealized_pnl"":-186.24,""sector"":""Energy""},{""symbol"":""JNJ"",""quantity"":6,""average_cost"":431.84,""current_price"":429.11,""market_value"":2574.66,""unrealized_pnl"":-16.38,""sector"":""Healthcare""}],""holdings_value"":14743.05,""total_value"":100000.05,""allocation"":{""Banking"":5.85,""Energy"":6.32,""Healthcare"":2.57}}","{""day_change_pct"":-0.61,""total_return_pct"":0,""sharpe_ratio"":1.44,""win_rate"":43.4,""max_drawdown_pct"":11.46,""volatility_pct"":4.69}","2026-04-07T18:10:27.2261031+05:30","2026-04-08T18:10:27.2261031+05:30"
"demo-paper-1000-ai-traders","6","Nisha Kapoor","hft","89.2","0.9","100000","86623","[""Consumer"",""Telecom"",""Financials""]","{""display_name"":""Nisha Kapoor"",""trader_style"":""hft"",""risk_band"":""aggressive"",""investment_horizon"":""intraday"",""capital_bucket"":""small"",""preferred_sectors"":[""Consumer"",""Telecom"",""Financials""]}","{""cash"":86623,""holdings"":[{""symbol"":""WIPRO.NS"",""quantity"":4,""average_cost"":676.73,""current_price"":716.95,""market_value"":2867.8,""unrealized_pnl"":160.88,""sector"":""IT""},{""symbol"":""GOOGL"",""quantity"":1,""average_cost"":2106.63,""current_price"":2211.57,""market_value"":2211.57,""unrealized_pnl"":104.94,""sector"":""Technology""},{""symbol"":""TCS.NS"",""quantity"":9,""average_cost"":887.24,""current_price"":921.97,""market_value"":8297.73,""unrealized_pnl"":312.57,""sector"":""IT""}],""holdings_value"":13377.1,""total_value"":100000.1,""allocation"":{""Technology"":2.21,""IT"":11.17}}","{""day_change_pct"":-1.75,""total_return_pct"":0,""sharpe_ratio"":2.22,""win_rate"":69.95,""max_drawdown_pct"":8.56,""volatility_pct"":1.7}","2026-03-30T18:10:27.2261031+05:30","2026-04-08T18:10:27.2261031+05:30"
"demo-paper-1000-ai-traders","7","Pooja Kulkarni","hft","88.97","0.9","100000","77788","[""Technology"",""Energy""]","{""display_name"":""Pooja Kulkarni"",""trader_style"":""hft"",""risk_band"":""aggressive"",""investment_horizon"":""intraday"",""capital_bucket"":""small"",""preferred_sectors"":[""Technology"",""Energy""]}","{""cash"":77788,""holdings"":[{""symbol"":""TSLA"",""quantity"":7,""average_cost"":513.42,""current_price"":521.36,""market_value"":3649.52,""unrealized_pnl"":55.58,""sector"":""Automotive""},{""symbol"":""ICICIBANK.NS"",""quantity"":13,""average_cost"":1457.3,""current_price"":1427.86,""market_value"":18562.18,""unrealized_pnl"":-382.72,""sector"":""Banking""}],""holdings_value"":22211.7,""total_value"":99999.7,""allocation"":{""Banking"":18.56,""Automotive"":3.65}}","{""day_change_pct"":2.55,""total_return_pct"":0,""sharpe_ratio"":1.46,""win_rate"":55.02,""max_drawdown_pct"":4.56,""volatility_pct"":2.78}","2026-04-07T18:10:27.2261031+05:30","2026-04-08T18:10:27.2261031+05:30"
"demo-paper-1000-ai-traders","8","Kabir Desai","hft","85.59","0.9","100000","84348","[""Financials"",""Financial Services"",""Banking""]","{""display_name"":""Kabir Desai"",""trader_style"":""hft"",""risk_band"":""aggressive"",""investment_horizon"":""intraday"",""capital_bucket"":""small"",""preferred_sectors"":[""Financials"",""Financial Services"",""Banking""]}","{""cash"":84348,""holdings"":[{""symbol"":""MSFT"",""quantity"":7,""average_cost"":2159.75,""current_price"":2236.03,""market_value"":15652.21,""unrealized_pnl"":533.96,""sector"":""Technology""}],""holdings_value"":15652.21,""total_value"":100000.21,""allocation"":{""Technology"":15.65}}","{""day_change_pct"":1.8,""total_return_pct"":0,""sharpe_ratio"":1.1,""win_rate"":63.71,""max_drawdown_pct"":15.94,""volatility_pct"":1.27}","2026-03-29T18:10:27.2261031+05:30","2026-04-08T18:10:27.2261031+05:30"
"demo-paper-1000-ai-traders","9","Rohan Pillai","hft","73.8","0.9","100000","83890","[""IT"",""Telecom"",""Banking""]","{""display_name"":""Rohan Pillai"",""trader_style"":""hft"",""risk_band"":""aggressive"",""investment_horizon"":""intraday"",""capital_bucket"":""small"",""preferred_sectors"":[""IT"",""Telecom"",""Banking""]}","{""cash"":83890,""holdings"":[{""symbol"":""V"",""quantity"":9,""average_cost"":1807.21,""current_price"":1790.01,""market_value"":16110.09,""unrealized_pnl"":-154.8,""sector"":""Financials""}],""holdings_value"":16110.09,""total_value"":100000.09,""allocation"":{""Financials"":16.11}}","{""day_change_pct"":-1.05,""total_return_pct"":0,""sharpe_ratio"":1.95,""win_rate"":62.7,""max_drawdown_pct"":3.06,""volatility_pct"":4.58}","2026-04-08T18:10:27.2261031+05:30","2026-04-08T18:10:27.2261031+05:30"
